marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,SubCategorieMS,BouwjaarBegin,BouwjaarEind,Gemeente,Provincie,Plaats,Situering,Adres,Postcode,Status,long,lat
#0080ff,small,,7032,,Kerk en kerkonderdeel,,,Achtkarspelen,Friesland,Augustinusga,,Geawei 15,9284 TA,beschermd,6.162805656701,53.217949118521
#0080ff,small,,7034,,Boerderij,,,Achtkarspelen,Friesland,Augustinusga,,Legeloane 6,9284 XN,beschermd,6.157245268835,53.211721752322
#0080ff,small,,7035,,Opslag,,,Achtkarspelen,Friesland,Augustinusga,,Geawei 20,9284 TC,beschermd,6.162742900239,53.218623467166
#0080ff,small,,7036,,Kerk en kerkonderdeel,,,Achtkarspelen,Friesland,Buitenpost,,Oude Havenstraat 1,9285 TC,beschermd,6.144803688937,53.251725093047
#0080ff,small,,7037,,Woonhuis,,,Achtkarspelen,Friesland,Buitenpost,,Voorstraat 24,9285 NS,beschermd,6.14178193613,53.253712010649
#0080ff,small,,7038,,Boerderij,,,Achtkarspelen,Friesland,Buitenpost,,West 2,9285 WC,beschermd,6.135777051297,53.253911346069
#0080ff,small,,7039,De Munts,Industrie- en poldermolen,,,Achtkarspelen,Friesland,Buitenpost,,West 1A,9285 WB,beschermd,6.132448420488,53.251173421043
#0080ff,small,,7040,,Boerderij,,,Achtkarspelen,Friesland,Drogeham,,It Kleasterbreed 3,9289 KA,beschermd,6.126847504828,53.201453411727
#0080ff,small,,7041,,Vanwege onderdelen kerk,,,Achtkarspelen,Friesland,Drogeham,,It Kleasterbreed 1,9289 KA,beschermd,6.126719745352,53.20185856594
#0080ff,small,,7042,,Kerk en kerkonderdeel,,,Achtkarspelen,Friesland,Drogeham,,Tsjerke Buorren 4,9289 HL,beschermd,6.109995541299,53.20228399848
#0080ff,small,,7043,,Woonhuis,,,Achtkarspelen,Friesland,Drogeham,,Tsjerke Buorren 8,9289 HL,beschermd,6.109440971995,53.20223342339
#0080ff,small,,7044,,Industrie- en poldermolen,,,Achtkarspelen,Friesland,Augustinusga,,Oost 8,9285 XL,beschermd,6.15585355206,53.255518745872
#0080ff,small,,7045,,"Klooster, kloosteronderdl",,,Achtkarspelen,Friesland,Gerkesklooster,,De Poorthoek 1,9873 PL,beschermd,6.200809103853,53.242175058322
#0080ff,small,,7046,,Woonhuis,,,Achtkarspelen,Friesland,Kootstertille,,Rykswei 2,9288 CB,beschermd,6.085572949005,53.227373384166
#0080ff,small,,7047,,Boerderij,,,Achtkarspelen,Friesland,Kootstertille,,Rykswei 4,9288 CB,beschermd,6.084714569842,53.227072858996
#0080ff,small,,7048,,Kerk en kerkonderdeel,,,Achtkarspelen,Friesland,Kootstertille,,Tillebuorren 42,9288 AP,beschermd,6.092910453985,53.21179394231
#0080ff,small,,7049,,Kerk en kerkonderdeel,,,Achtkarspelen,Friesland,Surhuisterveen,,Gedempte Vaart 23,9231 AS,beschermd,6.15998487776,53.179911774982
#0080ff,small,,7050,,Kerk en kerkonderdeel,,,Achtkarspelen,Friesland,Surhuisterveen,,Gedempte Vaart 8,9231 AV,beschermd,6.162200173464,53.181667722749
#0080ff,small,,7051,,Kerk en kerkonderdeel,,,Achtkarspelen,Friesland,Surhuizum,,Doarpsstrjitte 31,9283 TD,beschermd,6.17700305625,53.205923177705
#0080ff,small,,7052,,Woonhuis,,,Achtkarspelen,Friesland,Surhuizum,,Koartw‘ld 11,9283 TW,beschermd,6.183303012024,53.185537247207
#0080ff,small,,7053,,Gedenkteken,,,Achtkarspelen,Friesland,Kootstertille,Bij,Harstewei 1,9288 GN,beschermd,6.072683248567,53.223790482633
#0080ff,small,,7054,,Kerk en kerkonderdeel,,,Achtkarspelen,Friesland,Twijzel,,Tsjerkebuorren 15,9286 EZ,beschermd,6.103583320138,53.239802420589
