marker-color,marker-size,marker-symbol,NummerRijksmonument,NaamRijksmonument,SubCategorieMS,BouwjaarBegin,BouwjaarEind,Gemeente,Plaats,Situering,Adres,Postcode,Status,long,lat
#0080ff,small,,7061,Aeolus,Industrie- en poldermolen,,,Winsum,Adorp,Bij,Molenweg 7,9774 PG,beschermd,6.536545806382,53.275734228791
#0080ff,small,,7062,,Horeca,,,Winsum,Adorp,,Provincialeweg 37,9774 PA,beschermd,6.535541058692,53.275159738111
#0080ff,small,,7063,,Woonhuis,,,Winsum,Adorp,,Torenweg 15,9774 PH,beschermd,6.533357804868,53.274803173651
#0080ff,small,,7064,,Woonhuis,,,Winsum,Adorp,,Torenweg 17,9774 PH,beschermd,6.533308308338,53.274632908657
#0080ff,small,,7065,,Kerk en kerkonderdeel,,,Winsum,Adorp,,Torenweg 4,9774 PJ,beschermd,6.534279638039,53.274515801405
#0080ff,small,,7066,,Industrie- en poldermolen,,,Winsum,Klein Wetsinge,,Molenstreek 3,9773 TJ,beschermd,6.532548921537,53.300807778528
#0080ff,small,,7067,,Kerkelijke dienstwoning,,,Winsum,Groot Wetsinge,,Karspelweg 2,9773 TL,beschermd,6.528987025417,53.303950864273
#0080ff,small,,7068,,Woonhuis,,,Winsum,Groot Wetsinge,,Karspelweg 3,9773 TL,beschermd,6.529663832112,53.304016319916
#0080ff,small,,7069,De Paddepoel,Boerderij,,,Winsum,Adorp,,Paddepoelsterweg 5,9774 TG,beschermd,6.523164346212,53.257745388489
#0080ff,small,,7070,,Boerderij,,,Winsum,Adorp,,Wierumerschouwsterweg 23,9774 TE,beschermd,6.511146882003,53.274473913409
#0080ff,small,,7071,,Boerderij,,,Zuidhorn,Aduard,,Burg van Barneveldweg 3,9831 RD,beschermd,6.457557954919,53.258348162916
#0080ff,small,,7072,Horn Heem,Boerderij,,,Zuidhorn,Aduard,,Dorpsstraat 6,9832 PD,beschermd,6.447435140475,53.227525604917
#0080ff,small,,7073,,Kerkelijke dienstwoning,,,Zuidhorn,Aduard,,Hofstraat 47,9831 RB,beschermd,6.458950089407,53.256475616531
#0080ff,small,,7074,,Woonhuis,,,Zuidhorn,Aduard,,Kaakheem 2,9831 RC,beschermd,6.459404000285,53.256651286491
#0080ff,small,,7075,,"Klooster, kloosteronderdl",,,Zuidhorn,Aduard,,Burg Seinenstraat 42,9831 PX,beschermd,6.460058283314,53.256447747019
#0080ff,small,,7076,,Brug,,,Zuidhorn,Aduard,, ,9830 AA,beschermd,6.482927998122,53.261866546088
#0080ff,small,,7077,,Industrie- en poldermolen,,,Zuidhorn,Fransum,,Aduarderdiep 1,9833 TG,beschermd,6.482582012041,53.26831276141
#0080ff,small,,7078,,Boerderij,,,Zuidhorn,Fransum,,Fransumerweg 2,9833 TC,beschermd,6.449076994448,53.278489383693
#0080ff,small,,7079,,Kerk en kerkonderdeel,,,Zuidhorn,Fransum,,Fransumerweg 4,9833 TC,beschermd,6.447526913189,53.278251468394
#0080ff,small,,7080,,Werk-woonhuis,,,Zuidhorn,Den Ham,,Ds Koppiusweg 2,9833 PD,beschermd,6.427882349518,53.273094567454
#0080ff,small,,7081,,Kerk en kerkonderdeel,,,Zuidhorn,Den Ham,,Ds Koppiusweg 42,9833 PD,beschermd,6.42724332219,53.270215583467
#0080ff,small,,7082,Hamsterborg,"Kasteel, buitenplaats",,,Zuidhorn,Den Ham,,Sietse Veldstraweg 25,9833 TA,beschermd,6.417244730865,53.276475156504
#0080ff,small,,7083,,Boerderij,,,Zuidhorn,Den Horn,,Weersterweg 14,9832 TE,beschermd,6.465558465613,53.234274520269
#0080ff,small,,7084,,Boerderij,,,Zuidhorn,Den Horn,,Weersterweg 20,9832 TE,beschermd,6.457717602022,53.230938942961
#0080ff,small,,7522,,Woonhuis,,,Menterwolde,Zuidbroek,,Heiligelaan 97,9636 CM,beschermd,6.873717660817,53.171569824132
#0080ff,small,,8418,,Woonhuis,,,Assen,Assen,,Vaart N.Z. 26,9401 GN,beschermd,6.55790529521,52.994040173565
#0080ff,small,,8419,,Woonhuis,,,Assen,Assen,,Vaart N.Z. 28,9401 GN,beschermd,6.557636777206,52.994024828918
#0080ff,small,,8420,,Woonhuis,,,Assen,Assen,,Vaart N.Z. 30,9401 GN,beschermd,6.557444646209,52.994080631944
#0080ff,small,,8421,Witte Huis,Woonhuis,,,Assen,Assen,,Vaart N.Z. 36,9401 GN,beschermd,6.556997438153,52.994067034996
#0080ff,small,,8422,,Woonhuis,,,Assen,Assen,,Vaart N.Z. 48,9401 GN,beschermd,6.556222873472,52.994065625104
#0080ff,small,,8423,,Woonhuis,,,Assen,Assen,,Vaart N.Z. 88,9406 CM,beschermd,6.551000268522,52.994269362652
#0080ff,small,,8424,,Woonhuis,,,Assen,Assen,,Vaart N.Z. 126,9406 CP,beschermd,6.545925087759,52.994417520908
#0080ff,small,,8425,,Woonhuis,,,Assen,Assen,,Vaart Z.Z. 33,9401 GG,beschermd,6.555999923847,52.993528584999
#0080ff,small,,8426,,Woonhuis,,,Assen,Assen,,Vaart Z.Z. 49,9401 GH,beschermd,6.554274776074,52.993626323004
#0080ff,small,,8427,,Woonhuis,,,Assen,Assen,,Vaart Z.Z. 51,9401 GH,beschermd,6.554110014837,52.993591983444
#0080ff,small,,8428,,Woonhuis,,,Assen,Assen,,Vaart Z.Z. 53,9401 GH,beschermd,6.553887136338,52.993612132881
#0080ff,small,,8429,,Boerderij,,,Assen,Assen,,Anreep 6,9404 TE,beschermd,6.58512468463,52.976964692431
#0080ff,small,,8431,,Boerderij,,,Assen,Assen,,Witterhaar 11,9405 VJ,beschermd,6.518392173471,52.980382961596
#0080ff,small,,8432,,Boerderij,,,Assen,Assen,,Witterzomer 1,9405 VE,beschermd,6.515134173677,52.98106980312
#0080ff,small,,8152,,Kerk en kerkonderdeel,,,Aa en Hunze,Anloo,,Kerkbrink 3,9467 PH,beschermd,6.697935460608,53.043094586379
#0080ff,small,,8153,,Kerk en kerkonderdeel,,,Aa en Hunze,Anloo,,Kerkbrink 5,9467 PH,beschermd,6.697667135034,53.043097525816
#0080ff,small,,8154,,Boerderij,,,Aa en Hunze,Anloo,,Kerkbrink 4,9467 PH,beschermd,6.69669953489,53.043153056044
#0080ff,small,,8155,,Kerk en kerkonderdeel,,,Aa en Hunze,Annerveenschekanaal,,Greveling 117,9654 PP,beschermd,6.803705010682,53.076894230589
#0080ff,small,,8156,,Woonhuis,,,Aa en Hunze,Annerveenschekanaal,,Ellentshoek 10,9654 PW,beschermd,6.789929505526,53.085180819428
#0080ff,small,,8157,,Boerderij,,,Aa en Hunze,Anloo,,Lunsenhof 20,9467 PM,beschermd,6.700929858777,53.042998833041
#0080ff,small,,8158,,Woonhuis,,,Aa en Hunze,Anloo,,Brinkstraat 5,9467 PD,beschermd,6.698702488755,53.042816567837
#0080ff,small,,8207,,Woonhuis,,,Appingedam,Appingedam,,Broerstraat 2,9901 EK,beschermd,6.855973829207,53.322083361546
#0080ff,small,,8208,,Kerk en kerkonderdeel,,,Appingedam,Appingedam,,Broerstraat 6,9901 EK,beschermd,6.856011795427,53.322316547905
#0080ff,small,,8209,,Industrie,,,Appingedam,Appingedam,,Dijkhuizenweg 28,9903 AC,beschermd,6.850354000691,53.319680604885
#0080ff,small,,8210,,Werk-woonhuis,,,Appingedam,Appingedam,,Dijkstraat 30,9901 AS,beschermd,6.857665690124,53.320642799185
#0080ff,small,,8211,,Werk-woonhuis,,,Appingedam,Appingedam,,Dijkstraat 32,9901 AT,beschermd,6.857812338312,53.320542152797
#0080ff,small,,8212,,Werk-woonhuis,,,Appingedam,Appingedam,,Dijkstraat 34,9901 AT,beschermd,6.857833165002,53.320712642581
